Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
квартира 	59:01:4410007:211	г Пермь, ул Окулова, д. 33, 37	42.4 кв.м.	2 203 957 руб.
квартира 	59:01:4410007:208	г Пермь, ул Окулова, д. 33, 18	42.7 кв.м.	2 214 794 руб.
квартира 	59:01:4410007:209	г Пермь, ул Окулова, д. 33, 19	45.1 кв.м.	2 300 148 руб.
квартира 	59:01:4410007:198	г Пермь, ул Окулова, д. 33, 32	31.2 кв.м.	1 768 728 руб.
квартира 	59:01:4410007:212	г Пермь, ул Окулова, д. 33, 38	43.8 кв.м.	2 149 022 руб.
квартира 	59:01:4410007:192	г Пермь, ул Окулова, д. 33, 9	30.4 кв.м.	1 515 859 руб.
двухкомнатная квартира	59:01:4410008:363	г Пермь, ул Окулова, д. 33, 16	43.9 кв.м.	2 236 046 руб.
двухкомнатная квартира	59:01:4410008:361	г Пермь, ул Окулова, д. 33, 34	44.7 кв.м.	2 264 093 руб.
квартира 	59:01:4410007:186	г Пермь, ул Окулова, д. 33, 7	45.1 кв.м.	2 300 148 руб.
квартира 	59:01:4410007:204	г Пермь, ул Окулова, д. 33, 14	42.5 кв.м.	2 207 574 руб.
квартира 	59:01:4410007:191	г Пермь, ул Окулова, д. 33, 28	31.2 кв.м.	1 768 728 руб.
квартира 	59:01:4410007:202	г Пермь, ул Окулова, д. 33, 36	30.8 кв.м.	1 533 732 руб.
квартира 	59:01:4410007:184	г Пермь, ул Окулова, д. 33, 5	29.6 кв.м.	1 476 049 руб.
квартира 	59:01:4410007:206	г Пермь, ул Окулова, д. 33, 16	44.7 кв.м.	2 286 085 руб.
квартира 	59:01:4410007:177	г Пермь, ул Окулова, д. 33, 2	41.5 кв.м.	2 171 214 руб.
квартира 	59:01:4410007:176	г Пермь, ул Окулова, д. 33, 1	30.5 кв.м.	1 739 281 руб.
квартира 	59:01:4410007:197	г Пермь, ул Окулова, д. 33, 31	42.4 кв.м.	2 203 957 руб.
квартира 	59:01:4410007:187	г Пермь, ул Окулова, д. 33, 8	42.7 кв.м.	2 095 051 руб.
квартира 	59:01:4410007:175	г Пермь, ул Окулова, д. 33, 11	44.6 кв.м.	2 220 924 руб.
квартира 	59:01:4410007:185	г Пермь, ул Окулова, д. 33, 6	43.5 кв.м.	2 243 509 руб.
квартира 	59:01:4410007:196	г Пермь, ул Окулова, д. 33, 30	44.9 кв.м.	2 293 125 руб.
квартира 	59:01:4410007:190	г Пермь, ул Окулова, д. 33, 27	41.7 кв.м.	2 178 521 руб.
квартира 	59:01:4410007:203	г Пермь, ул Окулова, д. 33, 13	30.3 кв.м.	1 508 834 руб.
квартира 	59:01:4410007:181	г Пермь, ул Окулова, д. 33, 22	42.6 кв.м.	2 211 186 руб.
квартира 	59:01:4410007:178	г Пермь, ул Окулова, д. 33, 3	43.2 кв.м.	2 232 772 руб.
квартира 	59:01:4410007:188	г Пермь, ул Окулова, д. 33, 25	43.1 кв.м.	2 229 185 руб.
квартира 	59:01:4410007:193	г Пермь, ул Окулова, д. 33, 10	42.9 кв.м.	2 221 998 руб.
квартира 	59:01:4410007:214	г Пермь, ул Окулова, д. 33, 40	31.7 кв.м.	1 789 581 руб.
квартира 	59:01:4410007:201	г Пермь, ул Окулова, д. 33, 35	41.2 кв.м.	2 056 603 руб.
квартира 	59:01:4410007:213	г Пермь, ул Окулова, д. 33, 39	41.2 кв.м.	2 021 454 руб.
квартира 	59:01:4410007:590	г Пермь, ул Окулова, д. 33, 23	41.2 кв.м.	2 061 283 руб.
