Тип	Кадастровый номер	Адрес	Площадь	Кадастровая стоимость
инженерные сети	59:01:4410071:381	г Пермь, ул Петропавловская, д. 46	0 кв.м.	7 414 руб.
трехкомнатная квартира	59:01:4410036:862	г Пермь, ул Петропавловская, д. 46, 5	67.2 кв.м.	3 171 472 руб.
трехкомнатная квартира	59:01:4410036:877	г Пермь, ул Петропавловская, д. 46, 9	67.9 кв.м.	3 192 420 руб.
трехкомнатная квартира	59:01:4410036:835	г Пермь, ул Петропавловская, д. 46, 20	55 кв.м.	2 785 052 руб.
двухкомнатная квартира	59:01:4410036:868	г Пермь, ул Петропавловская, д. 46, 55	41.6 кв.м.	2 303 436 руб.
встроенные помещения	59:01:4410071:458	г Пермь, ул Петропавловская, д. 46	31.6 кв.м.	673 158 руб.
трехкомнатная квартира	59:01:4410036:849	г Пермь, ул Петропавловская, д. 46, 36	56.4 кв.м.	2 831 623 руб.
однокомнатная квартира	59:01:4410036:860	г Пермь, ул Петропавловская, д. 46, 48	30.3 кв.м.	1 833 129 руб.
	59:01:4410036:875	г Пермь, ул Петропавловская, д. 46, 7	29.7 кв.м.	944 825 руб.
магазин	59:01:4410036:821	г Пермь, ул Петропавловская, д. 46	92.7 кв.м.	4 854 616 руб.
однокомнатная квартира	59:01:4410036:869	г Пермь, ул Петропавловская, д. 46, 56	29.9 кв.м.	1 815 112 руб.
однокомнатная квартира	59:01:4410036:863	г Пермь, ул Петропавловская, д. 46, 50	30.8 кв.м.	1 855 503 руб.
трехкомнатная квартира	59:01:4410036:876	г Пермь, ул Петропавловская, д. 46, 8	54 кв.м.	2 751 396 руб.
однокомнатная квартира	59:01:4410036:856	г Пермь, ул Петропавловская, д. 46, 44	30 кв.м.	1 819 626 руб.
квартира	59:01:4410071:452	г Пермь, ул Петропавловская, д. 46, 5	67.2 кв.м.	1 990 286 руб.
двухкомнатная  квартира	59:01:4410036:859	г Пермь, ул Петропавловская, д. 46, 47	41.1 кв.м.	2 284 032 руб.
квартира	59:01:4410036:845	г Пермь, ул Петропавловская, д. 46, 32	56 кв.м.	2 878 487 руб.
квартира	59:01:4410071:441	г Пермь, ул Петропавловская, д. 46, 29	56.9 кв.м.	2 926 032 руб.
инженерные сети	59:01:4410071:382	г Пермь, ул Петропавловская, д. 46	0 кв.м.	7 414 руб.
	59:01:4410036:2407	г Пермь, ул Петропавловская, д. 46	67.9 кв.м.	2 160 054 руб.
встроенные помещения	59:01:4410071:453	г Пермь, ул Петропавловская, д. 46	66 кв.м.	1 405 964 руб.
двухкомнатная квартира	59:01:4410036:872	г Пермь, ул Петропавловская, д. 46, 59	41.1 кв.м.	2 284 032 руб.
двухкомнатная квартира	59:01:4410036:843	г Пермь, ул Петропавловская, д. 46, 30	39.9 кв.м.	2 236 981 руб.
участок	59:01:4410071:16	г Пермь, ул Петропавловская, д. 46	2151 кв.м.	20 804 171 руб.
здание	59:01:4410071:420	г Пермь, ул Петропавловская, д. 46	157 кв.м.	3 417 851 руб.
нежилое помещение	59:01:4410071:442	г Пермь, ул Петропавловская, д. 46	58.1 кв.м.	1 237 674 руб.
трехкомнатная квартира	59:01:4410036:827	г Пермь, ул Петропавловская, д. 46, 12	54.4 кв.м.	2 764 897 руб.
однокомнатная квартира	59:01:4410036:848	г Пермь, ул Петропавловская, д. 46, 35	30.9 кв.м.	1 859 958 руб.
квартира	59:01:0000000:41377	г Пермь, ул Петропавловская, д. 46, 7	29.7 кв.м.	105 555 руб.
	59:01:4410036:873	г Пермь, ул Петропавловская, д. 46, 6	40.7 кв.м.	1 294 760 руб.
офис	59:01:4410036:1817	г Пермь, ул Петропавловская, д. 46	54.1 кв.м.	2 913 700 руб.
трехкомнатная квартира	59:01:4410036:841	г Пермь, ул Петропавловская, д. 46, 28	55 кв.м.	2 785 052 руб.
квартира	59:01:4410071:435	г Пермь, ул Петропавловская, д. 46, 28	55 кв.м.	1 628 954 руб.
квартира	59:01:4410071:469	г Пермь, ул Петропавловская, д. 46, 17	68 кв.м.	2 013 980 руб.
двухкомнатная квартира	59:01:4410036:864	г Пермь, ул Петропавловская, д. 46, 51	41.4 кв.м.	2 295 688 руб.
однокомнатная квартира	59:01:4410036:867	г Пермь, ул Петропавловская, д. 46, 54	30.7 кв.м.	1 851 041 руб.
однокомнатная квартира	59:01:4410036:858	г Пермь, ул Петропавловская, д. 46, 46	30.6 кв.м.	1 846 573 руб.
трехкомнатная квартира	59:01:4410036:850	г Пермь, ул Петропавловская, д. 46, 37	55 кв.м.	2 785 052 руб.
квартира	59:01:4410071:448	г Пермь, ул Петропавловская, д. 46, 9	68.7 кв.м.	2 034 712 руб.
магазин	59:01:4410036:822	г Пермь, ул Петропавловская, д. 46	31.6 кв.м.	1 884 810 руб.
однокомнатная квартира	59:01:4410036:826	г Пермь, ул Петропавловская, д. 46, 11	30.8 кв.м.	1 855 503 руб.
нежилое помещение	59:01:4410071:467	г Пермь, ул Петропавловская, д. 46	30.9 кв.м.	658 247 руб.
домовладение	59:01:4410036:54	г Пермь, ул Петропавловская, д. 46	218 кв.м.	1 028 709 руб.
двухкомнатная квартира	59:01:4410036:851	г Пермь, ул Петропавловская, д. 46, 38	40.4 кв.м.	2 256 669 руб.
двухкомнатная квартира	59:01:4410036:829	г Пермь, ул Петропавловская, д. 46, 14	40.8 кв.м.	2 272 333 руб.
трехкомнатная квартира	59:01:4410036:861	г Пермь, ул Петропавловская, д. 46, 49	55.5 кв.м.	2 801 757 руб.
однокомнатная квартира	59:01:4410036:840	г Пермь, ул Петропавловская, д. 46, 27	31.2 кв.м.	1 873 285 руб.
нежилое помещение	59:01:4410071:443	г Пермь, ул Петропавловская, д. 46	92.7 кв.м.	1 974 740 руб.
двухкомнатная квартира	59:01:4410036:855	г Пермь, ул Петропавловская, д. 46, 43	41.3 кв.м.	2 291 808 руб.
однокомнатная квартира	59:01:4410036:871	г Пермь, ул Петропавловская, д. 46, 58	30.7 кв.м.	1 851 041 руб.
газопровод	59:01:4410071:427	г Пермь, ул Петропавловская, д. 46	0 кв.м.	0 руб.
квартира	59:01:4410071:471	г Пермь, ул Петропавловская, д. 46, 45	55.6 кв.м.	1 646 725 руб.
квартира	59:01:4410071:431	г Пермь, ул Петропавловская, д. 46, 26	41.1 кв.м.	1 217 273 руб.
трехкомнатная квартира	59:01:4410036:828	г Пермь, ул Петропавловская, д. 46, 13	67.8 кв.м.	3 189 435 руб.
квартира	59:01:4410071:479	г Пермь, ул Петропавловская, д. 46, 55	41.6 кв.м.	1 232 082 руб.
трехкомнатная квартира	59:01:4410036:831	г Пермь, ул Петропавловская, д. 46, 16	55.8 кв.м.	2 811 741 руб.
трехкомнатная квартира	59:01:4410036:842	г Пермь, ул Петропавловская, д. 46, 29	56.9 кв.м.	2 848 104 руб.
трехкомнатная квартира	59:01:4410036:838	г Пермь, ул Петропавловская, д. 46, 25	55.1 кв.м.	2 788 399 руб.
однокомнатная квартира	59:01:4410036:824	г Пермь, ул Петропавловская, д. 46, 1	29.5 кв.м.	1 796 988 руб.
однокомнатная квартира	59:01:4410036:844	г Пермь, ул Петропавловская, д. 46, 31	30.8 кв.м.	1 855 503 руб.
квартира	59:01:4410071:457	г Пермь, ул Петропавловская, д. 46, 8	54.8 кв.м.	1 623 031 руб.
однокомнатная квартира	59:01:4410036:834	г Пермь, ул Петропавловская, д. 46, 19	29.1 кв.м.	1 778 757 руб.
трехкомнатная квартира	59:01:4410036:857	г Пермь, ул Петропавловская, д. 46, 45	55.9 кв.м.	2 815 063 руб.
двухкомнатная квартира	59:01:4410036:833	г Пермь, ул Петропавловская, д. 46, 18	40.7 кв.м.	2 268 424 руб.
однокомнатная квартира	59:01:4410036:865	г Пермь, ул Петропавловская, д. 46, 52	30.4 кв.м.	1 837 616 руб.
двухкомнатная квартира	59:01:4410036:847	г Пермь, ул Петропавловская, д. 46, 34	40.2 кв.м.	2 248 808 руб.
нежилое помещение	59:01:4410071:402	г Пермь, ул Петропавловская, д. 46	30.9 кв.м.	983 000 руб.
трехкомнатная квартира	59:01:4410036:870	г Пермь, ул Петропавловская, д. 46, 57	54.8 кв.м.	2 778 347 руб.
квартира	59:01:4410071:437	г Пермь, ул Петропавловская, д. 46, 25	55.9 кв.м.	1 655 610 руб.
нежилое помещение	59:01:4410036:2184	г Пермь, ул Петропавловская, д. 46	58.1 кв.м.	1 848 294 руб.
квартира	59:01:4410071:456	г Пермь, ул Петропавловская, д. 46, 59	41.3 кв.м.	1 223 197 руб.
помещение косметического салона	59:01:4410071:401	г Пермь, ул Петропавловская, д. 46	67.9 кв.м.	2 160 054 руб.
квартира	59:01:4410071:400	г Пермь, ул Петропавловская, д. 46, 35	30.9 кв.м.	1 589 005 руб.
парикмахерская	59:01:4410036:823	г Пермь, ул Петропавловская, д. 46	66.7 кв.м.	790 705 руб.
трехкомнатная квартира	59:01:4410036:866	г Пермь, ул Петропавловская, д. 46, 53	55.2 кв.м.	2 791 743 руб.
трехкомнатная квартира	59:01:4410036:832	г Пермь, ул Петропавловская, д. 46, 17	67.4 кв.м.	3 177 469 руб.
трехкомнатная квартира	59:01:4410036:853	г Пермь, ул Петропавловская, д. 46, 4	54.1 кв.м.	2 754 776 руб.
трехкомнатная квартира	59:01:4410036:837	г Пермь, ул Петропавловская, д. 46, 24	54 кв.м.	2 751 396 руб.
встроенные помещения	59:01:4410071:480	г Пермь, ул Петропавловская, д. 46	66.7 кв.м.	1 420 875 руб.
квартира	59:01:4410071:450	г Пермь, ул Петропавловская, д. 46, 14	40.6 кв.м.	1 202 464 руб.
нежилое помещение	59:01:4410071:430	г Пермь, ул Петропавловская, д. 46	54.1 кв.м.	1 152 464 руб.
квартира	59:01:4410071:438	г Пермь, ул Петропавловская, д. 46, 37	55.8 кв.м.	1 652 648 руб.
трехкомнатная квартира	59:01:4410036:854	г Пермь, ул Петропавловская, д. 46, 40	55.8 кв.м.	2 811 741 руб.
однокомнатная квартира	59:01:4410125:176	г Пермь, ул Екатерининская, д. 119, 42	36.5 кв.м.	2 361 486 руб.
квартира	59:01:4410125:1180	г Пермь, ул Екатерининская, д. 119, 17	78.7 кв.м.	4 127 499 руб.
квартира	59:01:4410125:68	г Пермь, ул Екатерининская, д. 119, 14	37 кв.м.	2 384 596 руб.
квартира	59:01:4410125:1214	г Пермь, ул Екатерининская, д. 119, 77	77.4 кв.м.	4 025 215 руб.
четырехкомнатная квартира	59:01:4410125:101	г Пермь, ул Екатерининская, д. 119, 45	78.6 кв.м.	3 934 597 руб.
квартира	59:01:4410125:1185	г Пермь, ул Екатерининская, д. 119, 4	63.4 кв.м.	3 297 140 руб.
квартира	59:01:4410125:1183	г Пермь, ул Екатерининская, д. 119, 22	37.7 кв.м.	1 960 602 руб.
четырехкомнатная квартира	59:01:4410125:210	г Пермь, ул Екатерининская, д. 119, 73	80.6 кв.м.	3 995 935 руб.
трехкомнатная квартира	59:01:4410125:152	г Пермь, ул Екатерининская, д. 119, 20	63.8 кв.м.	3 450 311 руб.
четырехкомнатная квартира	59:01:4410125:170	г Пермь, ул Екатерининская, д. 119, 37	78.7 кв.м.	3 937 685 руб.
квартира	59:01:4410125:204	г Пермь, ул Екатерининская, д. 119, 68	61.9 кв.м.	3 383 753 руб.
квартира	59:01:4410125:70	г Пермь, ул Екатерининская, д. 119, 16	64.1 кв.м.	3 460 719 руб.
квартира	59:01:4410125:199	г Пермь, ул Екатерининская, д. 119, 63	51.1 кв.м.	2 982 375 руб.
трехкомнатная  квартира	59:01:4410125:173	г Пермь, ул Екатерининская, д. 119, 4	63.4 кв.м.	3 436 390 руб.
квартира	59:01:4410125:1221	г Пермь, ул Екатерининская, д. 119, 30	37.7 кв.м.	1 960 602 руб.
двухкомнатная квартира	59:01:4410125:164	г Пермь, ул Екатерининская, д. 119, 31	51 кв.м.	2 978 456 руб.
квартира	59:01:4410125:1048	г Пермь, ул Екатерининская, д. 119, 44	62.9 кв.м.	223 548 руб.
трехкомнатная квартира	59:01:4410125:148	г Пермь, ул Екатерининская, д. 119, 16	64.1 кв.м.	3 460 719 руб.
однокомнатная квартира	59:01:4410125:163	г Пермь, ул Екатерининская, д. 119, 30	37.7 кв.м.	2 416 702 руб.
трехкомнатная квартира	59:01:4410125:144	г Пермь, ул Екатерининская, д. 119, 12	63.5 кв.м.	3 439 875 руб.
квартира	59:01:4410125:1224	г Пермь, ул Екатерининская, д. 119, 45	78.6 кв.м.	4 087 621 руб.
квартира	59:01:4410125:1223	г Пермь, ул Екатерининская, д. 119, 43	54.6 кв.м.	2 839 493 руб.
квартира	59:01:4410125:1226	г Пермь, ул Екатерининская, д. 119, 51	54.7 кв.м.	2 844 693 руб.
однокомнатная квартира	59:01:4410125:120	г Пермь, ул Екатерининская, д. 119, 62	37.3 кв.м.	2 398 391 руб.
двухкомнатная квартира	59:01:4410125:208	г Пермь, ул Екатерининская, д. 119, 71	52.3 кв.м.	3 029 086 руб.
двухкомнатная квартира	59:01:4410125:186	г Пермь, ул Екатерининская, д. 119, 51	51.8 кв.м.	3 009 693 руб.
однокомнатная квартира	59:01:4410125:129	г Пермь, ул Екатерининская, д. 119, 70	37.2 кв.м.	2 393 799 руб.
квартира	59:01:4410125:77	г Пермь, ул Екатерининская, д. 119, 23	52.1 кв.м.	3 021 341 руб.
квартира	59:01:4410125:1218	г Пермь, ул Екатерининская, д. 119, 21	82.3 кв.м.	4 280 041 руб.
четырехкомнатная квартира	59:01:4410125:110	г Пермь, ул Екатерининская, д. 119, 53	79.6 кв.м.	3 965 377 руб.
двухкомнатная квартира	59:01:4410125:125	г Пермь, ул Екатерининская, д. 119, 67	51.8 кв.м.	3 009 693 руб.
здание центрального теплового пункта	59:01:4410125:1100	г Пермь, ул Екатерининская, д. 119	300.8 кв.м.	14 256 846 руб.
трехкомнатная  квартира	59:01:4410125:217	г Пермь, ул Екатерининская, д. 119, 8	65.6 кв.м.	3 512 362 руб.
встроенные помещения	59:01:4410125:1182	г Пермь, ул Екатерининская, д. 119	119.5 кв.м.	436 088 руб.
трехкомнатная  квартира	59:01:4410125:178	г Пермь, ул Екатерининская, д. 119, 44	62.9 кв.м.	3 418 922 руб.
двухкомнатная квартира	59:01:4410125:143	г Пермь, ул Екатерининская, д. 119, 11	52 кв.м.	3 017 462 руб.
домовладение	59:01:4410125:35	г Пермь, ул Екатерининская, д. 119 (А)	495 кв.м.	4 384 408 руб.
трехкомнатная квартира	59:01:4410125:191	г Пермь, ул Екатерининская, д. 119, 56	63.5 кв.м.	3 439 875 руб.
квартира	59:01:4410125:1217	г Пермь, ул Екатерининская, д. 119, 19	54.5 кв.м.	2 834 292 руб.
квартира	59:01:4410125:1187	г Пермь, ул Екатерининская, д. 119, 53	84.2 кв.м.	4 378 851 руб.
однокомнатная квартира	59:01:4410125:102	г Пермь, ул Екатерининская, д. 119, 46	37.5 кв.м.	2 407 558 руб.
однокомнатная квартира	59:01:4410125:72	г Пермь, ул Екатерининская, д. 119, 18	37.5 кв.м.	2 407 558 руб.
квартира	59:01:4410125:141	г Пермь, ул Екатерининская, д. 119, 9	77.9 кв.м.	3 912 919 руб.
квартира	59:01:4410125:1181	г Пермь, ул Екатерининская, д. 119, 64	62.6 кв.м.	3 255 536 руб.
трехкомнатная квартира	59:01:4410125:126	г Пермь, ул Екатерининская, д. 119, 68	61.9 кв.м.	3 383 753 руб.
однокомнатная квартира	59:01:4410125:80	г Пермь, ул Екатерининская, д. 119, 26	39 кв.м.	2 475 573 руб.
квартира	59:01:4410125:66	г Пермь, ул Екатерининская, д. 119, 12	63.5 кв.м.	3 439 875 руб.
однокомнатная квартира	59:01:4410125:158	г Пермь, ул Екатерининская, д. 119, 26	39 кв.м.	2 475 573 руб.
трехкомнатная квартира	59:01:4410125:196	г Пермь, ул Екатерининская, д. 119, 60	62.3 кв.м.	3 397 858 руб.
квартира	59:01:4410125:207	г Пермь, ул Екатерининская, д. 119, 70	37.2 кв.м.	2 393 799 руб.
трехкомнатная квартира	59:01:4410125:104	г Пермь, ул Екатерининская, д. 119, 48	62.4 кв.м.	3 401 376 руб.
двухкомнатная  квартира	59:01:4410125:112	г Пермь, ул Екатерининская, д. 119, 55	49.5 кв.м.	2 666 701 руб.
двухкомнатная квартира	59:01:4410125:181	г Пермь, ул Екатерининская, д. 119, 47	51.3 кв.м.	2 990 200 руб.
квартира	59:01:4410125:89	г Пермь, ул Екатерининская, д. 119, 34	37.8 кв.м.	2 421 265 руб.
однокомнатная квартира	59:01:4410125:150	г Пермь, ул Екатерининская, д. 119, 18	37.5 кв.м.	2 407 558 руб.
квартира	59:01:4410125:106	г Пермь, ул Екатерининская, д. 119, 5	76.9 кв.м.	3 881 755 руб.
квартира	59:01:4410125:1204	г Пермь, ул Екатерининская, д. 119, 37	78.7 кв.м.	4 092 822 руб.
квартира	59:01:4410125:132	г Пермь, ул Екатерининская, д. 119, 73	80.6 кв.м.	3 995 935 руб.
квартира	59:01:4410125:209	г Пермь, ул Екатерининская, д. 119, 72	62.4 кв.м.	3 401 376 руб.
двухкомнатная  квартира	59:01:4410125:84	г Пермь, ул Екатерининская, д. 119, 3	51.3 кв.м.	2 990 200 руб.
квартира	59:01:4410125:1210	г Пермь, ул Екатерининская, д. 119, 65	81.4 кв.м.	4 233 236 руб.
квартира	59:01:4410125:1049	г Пермь, ул Екатерининская, д. 119, 73	79.1 кв.м.	281 124 руб.
четырехкомнатная квартира	59:01:4410125:114	г Пермь, ул Екатерининская, д. 119, 57	80 кв.м.	3 977 626 руб.
трехкомнатная квартира	59:01:4410125:218	г Пермь, ул Екатерининская, д. 119, 80	63.1 кв.м.	3 425 919 руб.
четырехкомнатная квартира	59:01:4410125:161	г Пермь, ул Екатерининская, д. 119, 29	79.3 кв.м.	3 956 166 руб.
квартира	59:01:4410125:1145	г Пермь, ул Екатерининская, д. 119, 47	51.3 кв.м.	2 667 875 руб.
квартира	59:01:4410125:130	г Пермь, ул Екатерининская, д. 119, 71	52.3 кв.м.	3 029 086 руб.
двухкомнатная квартира	59:01:4410125:159	г Пермь, ул Екатерининская, д. 119, 27	50.9 кв.м.	2 974 533 руб.
четырехкомнатная квартира	59:01:4410125:88	г Пермь, ул Екатерининская, д. 119, 33	83.3 кв.м.	4 077 370 руб.
четырехкомнатная квартира	59:01:4410125:219	г Пермь, ул Екатерининская, д. 119, 9	77.9 кв.м.	3 912 919 руб.
квартира	59:01:4410125:99	г Пермь, ул Екатерининская, д. 119, 43	51.7 кв.м.	3 005 802 руб.
квартира	59:01:4410125:1142	г Пермь, ул Екатерининская, д. 119, 31	51 кв.м.	2 652 273 руб.
однокомнатная квартира	59:01:4410125:137	г Пермь, ул Екатерининская, д. 119, 78	36.9 кв.м.	2 379 986 руб.
четырехкомнатная квартира	59:01:4410125:153	г Пермь, ул Екатерининская, д. 119, 21	79.3 кв.м.	3 956 166 руб.
квартира	59:01:4410125:133	г Пермь, ул Екатерининская, д. 119, 74	36.9 кв.м.	2 379 986 руб.
трехкомнатная квартира	59:01:4410125:200	г Пермь, ул Екатерининская, д. 119, 64	62.6 кв.м.	3 408 403 руб.
четырехкомнатная квартира	59:01:4410125:92	г Пермь, ул Екатерининская, д. 119, 37	78.7 кв.м.	3 937 685 руб.
квартира	59:01:4410125:1215	г Пермь, ул Екатерининская, д. 119, 13	78.9 кв.м.	4 103 223 руб.
четырехкомнатная квартира	59:01:4410125:157	г Пермь, ул Екатерининская, д. 119, 25	79.3 кв.м.	3 956 166 руб.
квартира	59:01:4410125:117	город Пермь, ул Екатерининская, д. 119, 6	37.3 кв.м.	2 398 391 руб.
трехкомнатная квартира	59:01:4410125:118	г Пермь, ул Екатерининская, д. 119, 60	62.3 кв.м.	3 397 858 руб.
однокомнатная квартира	59:01:4410125:215	г Пермь, ул Екатерининская, д. 119, 78	36.9 кв.м.	2 379 986 руб.
квартира	59:01:4410125:1212	г Пермь, ул Екатерининская, д. 119, 35	51 кв.м.	2 652 273 руб.
трехкомнатная квартира	59:01:4410125:131	г Пермь, ул Екатерининская, д. 119, 72	62.4 кв.м.	3 401 376 руб.
квартира	59:01:4410125:140	г Пермь, ул Екатерининская, д. 119, 80	63.1 кв.м.	3 425 919 руб.
однокомнатная квартира	59:01:4410125:146	г Пермь, ул Екатерининская, д. 119, 14	37 кв.м.	2 384 596 руб.
двухкомнатная квартира	59:01:4410125:108	г Пермь, ул Екатерининская, д. 119, 51	51.8 кв.м.	3 009 693 руб.
двухкомнатная квартира	59:01:4410125:121	г Пермь, ул Екатерининская, д. 119, 63	51.1 кв.м.	2 982 375 руб.
квартира	59:01:4410125:1047	г Пермь, ул Екатерининская, д. 119, 3	51.3 кв.м.	182 322 руб.
квартира	59:01:4410125:79	г Пермь, ул Екатерининская, д. 119, 25	79.3 кв.м.	3 956 166 руб.
квартира	59:01:4410125:1228	г Пермь, ул Екатерининская, д. 119, 74	38.2 кв.м.	1 986 605 руб.
квартира	59:01:4410125:1231	г Пермь, ул Екатерининская, д. 119, 80	64.5 кв.м.	3 354 346 руб.
однокомнатная квартира	59:01:4410125:64	г Пермь, ул Екатерининская, д. 119, 10	37.1 кв.м.	2 389 201 руб.
трехкомнатная квартира	59:01:4410125:156	г Пермь, ул Екатерининская, д. 119, 24	63.7 кв.м.	3 446 835 руб.
однокомнатная квартира	59:01:4410125:189	г Пермь, ул Екатерининская, д. 119, 54	37 кв.м.	2 384 596 руб.
однокомнатная квартира	59:01:4410125:171	г Пермь, ул Екатерининская, д. 119, 38	36.9 кв.м.	2 379 986 руб.
четырехкомнатная квартира	59:01:4410125:175	г Пермь, ул Екатерининская, д. 119, 41	80.4 кв.м.	3 989 840 руб.
двухкомнатная квартира	59:01:4410125:86	г Пермь, ул Екатерининская, д. 119, 31	51 кв.м.	2 978 456 руб.
квартира	59:01:4410125:93	г Пермь, ул Екатерининская, д. 119, 38	36.9 кв.м.	2 379 986 руб.
трехкомнатная квартира	59:01:4410125:213	г Пермь, ул Екатерининская, д. 119, 76	63.2 кв.м.	3 429 412 руб.
двухкомнатная квартира	59:01:4410125:147	г Пермь, ул Екатерининская, д. 119, 15	51.2 кв.м.	2 986 290 руб.
квартира	59:01:4410125:1213	г Пермь, ул Екатерининская, д. 119, 61	84.5 кв.м.	4 394 453 руб.
квартира	59:01:4410125:1186	г Пермь, ул Екатерининская, д. 119, 44	62.9 кв.м.	3 271 137 руб.
четырехкомнатная квартира	59:01:4410125:179	г Пермь, ул Екатерининская, д. 119, 45	78.6 кв.м.	3 934 597 руб.
двухкомнатная квартира	59:01:4410125:168	г Пермь, ул Екатерининская, д. 119, 35	51 кв.м.	2 978 456 руб.
двухкомнатная квартира	59:01:4410125:212	г Пермь, ул Екатерининская, д. 119, 75	51.3 кв.м.	2 990 200 руб.
квартира	59:01:4410125:1222	г Пермь, ул Екатерининская, д. 119, 34	39.1 кв.м.	2 033 410 руб.
квартира	59:01:4410125:1230	г Пермь, ул Екатерининская, д. 119, 79	54.6 кв.м.	2 839 493 руб.
однокомнатная квартира	59:01:4410125:154	г Пермь, ул Екатерининская, д. 119, 22	37.7 кв.м.	2 416 702 руб.
квартира	59:01:4410125:1220	г Пермь, ул Екатерининская, д. 119, 3	51.3 кв.м.	2 667 875 руб.
квартира	59:01:4410125:127	г Пермь, ул Екатерининская, д. 119, 69	80.2 кв.м.	3 983 738 руб.
нежилое помещение	59:01:4410125:1092	г Пермь, ул ЕКАТЕРИНИНСКАЯ, д. 119, 1	86.2 кв.м.	314 567 руб.
квартира	59:01:4410125:1151	г Пермь, ул Екатерининская, д. 119, 42	37.8 кв.м.	1 965 803 руб.
двухкомнатная квартира	59:01:4410125:103	г Пермь, ул Екатерининская, д. 119, 47	51.3 кв.м.	2 990 200 руб.
нежилое помещение	59:01:4410125:1003	г Пермь, ул Екатерининская, д. 119, б/н1	119.5 кв.м.	363 158 руб.
четырехкомнатная квартира	59:01:4410125:166	г Пермь, ул Екатерининская, д. 119, 33	83.3 кв.м.	4 077 370 руб.
однокомнатная квартира	59:01:4410125:167	г Пермь, ул Екатерининская, д. 119, 34	37.8 кв.м.	2 421 265 руб.
двухкомнатная квартира	59:01:4410125:138	г Пермь, ул Екатерининская, д. 119, 79	51.7 кв.м.	3 005 802 руб.
четырехкомнатная квартира	59:01:4410125:67	г Пермь, ул Екатерининская, д. 119, 13	78.9 кв.м.	3 943 854 руб.
квартира	59:01:4410125:73	г Пермь, ул Екатерининская, д. 119, 19	51.6 кв.м.	3 001 907 руб.
четырехкомнатная квартира	59:01:4410125:184	г Пермь, ул Екатерининская, д. 119, 5	76.9 кв.м.	3 881 755 руб.
двухкомнатная  квартира	59:01:4410125:162	г Пермь, ул Екатерининская, д. 119, 3	51.3 кв.м.	2 990 200 руб.
квартира	59:01:4410125:1143	г Пермь, ул Екатерининская, д. 119, 54	37 кв.м.	1 924 198 руб.
нежилое помещение	59:01:4410125:1006	г Пермь, ул Екатерининская, д. 119 (А), б/н3	82.5 кв.м.	958 876 руб.
однокомнатная квартира	59:01:4410125:198	г Пермь, ул Екатерининская, д. 119, 62	37.3 кв.м.	2 398 391 руб.
квартира	59:01:4410125:91	город Пермь, ул Екатерининская, д. 119, 36	64.3 кв.м.	3 467 644 руб.
трехкомнатная квартира	59:01:4410125:182	г Пермь, ул Екатерининская, д. 119, 48	62.4 кв.м.	3 401 376 руб.
квартира	59:01:4410125:78	г Пермь, ул Екатерининская, д. 119, 24	63.7 кв.м.	3 446 835 руб.
сооружение: тепловая трасса	59:01:0000000:52228	г Пермь, ул Екатерининская, д. 119	0 кв.м.	0 руб.
нежилое помещение	59:01:4410125:1050	г Пермь, ул Екатерининская, д. 119	119.5 кв.м.	363 158 руб.
квартира	59:01:4410125:1227	г Пермь, ул Екатерининская, д. 119, 56	64.9 кв.м.	3 375 148 руб.
четырехкомнатная квартира	59:01:4410125:145	г Пермь, ул Екатерининская, д. 119, 13	78.9 кв.м.	3 943 854 руб.
квартира	59:01:4410125:1206	г Пермь, ул Екатерининская, д. 119, 66	35.7 кв.м.	1 856 591 руб.
квартира	59:01:4410125:165	г Пермь, ул Екатерининская, д. 119, 32	65.4 кв.м.	3 505 515 руб.
двухкомнатная квартира	59:01:4410125:69	г Пермь, ул Екатерининская, д. 119, 15	51.2 кв.м.	2 986 290 руб.
нежилое помещение	59:01:4410125:1066	г Пермь, ул Екатерининская, д. 119	117.9 кв.м.	358 296 руб.
квартира	59:01:4410125:169	г Пермь, ул Екатерининская, д. 119, 36	64.3 кв.м.	3 467 644 руб.
двухкомнатная квартира	59:01:4410125:172	г Пермь, ул Екатерининская, д. 119, 39	51.1 кв.м.	2 982 375 руб.
квартира	59:01:4410125:65	г Пермь, ул Екатерининская, д. 119, 11	52 кв.м.	3 017 462 руб.
нежилое помещение	59:01:4410125:1179	г Пермь, ул Екатерининская, д. 119	86.2 кв.м.	314 567 руб.
квартира	59:01:4410125:139	г Пермь, ул Екатерининская, д. 119, 8	62.9 кв.м.	3 298 852 руб.
четырехкомнатная квартира	59:01:4410125:123	г Пермь, ул Екатерининская, д. 119, 65	81.4 кв.м.	4 020 226 руб.
квартира	59:01:4410125:1150	г Пермь, ул Екатерининская, д. 119, 20	64.6 кв.м.	3 359 546 руб.
квартира	59:01:4410125:95	г Пермь, ул Екатерининская, д. 119, 4	63.4 кв.м.	3 436 390 руб.
однокомнатная квартира	59:01:4410125:124	г Пермь, ул Екатерининская, д. 119, 66	37.4 кв.м.	2 402 977 руб.
четырехкомнатная квартира	59:01:4410125:197	г Пермь, ул Екатерининская, д. 119, 61	79.9 кв.м.	3 974 567 руб.
четырехкомнатная квартира	59:01:4410125:188	г Пермь, ул Екатерининская, д. 119, 53	79.6 кв.м.	3 965 377 руб.
