ул. 5 Армии, д. 9, Томск
ул. 5 Армии, д. 16, Томск
пер. Заозерный, д. 16/2, Томск
ул. Крымская, д. 43, Томск
пр-кт. Ленина, д. 257, Томск
ул. 79 Гвардейской Дивизии, д. 18, Томск
пер. Сакко, д. 9, Томск
ул. 79 Гвардейской Дивизии, д. 26, Томск
ул. 79 Гвардейской Дивизии, д. 14, Томск
ул. 79 Гвардейской Дивизии, д. 22, Томск
ул. Профсоюзная, д. 13, Томск
ул. Пролетарская, д. 38, Томск
ул. Пролетарская, д. 38 а, Томск
ул. Лебедева, д. 105, Томск
ул. Лебедева, д. 11, Томск
пр-кт. Фрунзе, д. 98, Томск
пр-кт. Фрунзе, д. 94, Томск
пр-кт. Фрунзе, д. 131/1, Томск
пр-кт. Фрунзе, д. 65, Томск
ул. Красноармейская, д. 16, Томск
ул. Алтайская, д. 78/2, Томск
ул. Алтайская, д. 126, Томск
ул. Шевченко, д. 19/1, Томск
пр-кт. Комсомольский, д. 44, Томск
ул. Шевченко, д. 20, Томск
ул. Киевская, д. 28, Томск
пр-кт. Фрунзе, д. 127, Томск
пр-кт. Фрунзе, д. 131, Томск
ул. Гоголя, д. 29 а, Томск
ул. Гоголя, д. 29, Томск
ул. Лебедева, д. 87/1, Томск
ул. Советская, д. 28, Томск
пр-кт. Фрунзе, д. 121, Томск
ул. Кулагина, д. 23, Томск
ул. Кулагина, д. 7, Томск
ул. Кулагина, д. 13, Томск
ул. Алтайская, д. 34, Томск
тракт. Иркутский, д. 100, Томск
ул. Сергея Лазо, д. 32, Томск
тракт. Иркутский, д. 27/1, Томск
ул. Сергея Лазо, д. 20, Томск
тракт. Иркутский, д. 142/3, Томск
ул. Железнодорожная, д. 30, Томск
ул. Пушкина, д. 35, Томск
ул. Вокзальная, д. 35, Томск
ул. Ивана Черных, д. 32, Томск
ул. Сергея Лазо, д. 18, Томск
ул. Ивана Черных, д. 65, Томск
ул. Яковлева, д. 12, Томск
тракт. Иркутский, д. 118/1, Томск
тракт. Иркутский, д. 81/1, Томск
ул. Суворова, д. 13/1, Томск
ул. Ивана Черных, д. 93, Томск
ул. Ивана Черных, д. 97/1, Томск
ул. Ивана Черных, д. 85, Томск
ул. МПС Северный, д. 8, Томск
ул. Транспортная, д. 2, Томск
тракт. Иркутский, д. 148, Томск
ул. Грузинская, д. 2, Томск
тракт. Иркутский, д. 142, Томск
пер. Переездный, д. 2, Томск
ул. Мокрушина, д. 24, Томск
ул. Красноармейская, д. 122, Томск
ул. Федора Лыткина, д. 22, Томск
ул. Учебная, д. 15, Томск
ул. Савиных, д. 13, Томск
ул. Учебная, д. 40, Томск
ул. Советская, д. 105, Томск
ул. 19 Гвардейской Дивизии, д. 15, Томск
ул. Елизаровых, д. 4, Томск
ул. Белинского, д. 62, Томск
пр-кт. Кирова, д. 32, Томск
пр-кт. Кирова, д. 39 а, Томск
ул. Белинского, д. 35 а, Томск
ул. Усова, д. 25/2, Томск
ул. Мокрушина, д. 20, Томск
ул. Усова, д. 25 в, Томск
ул. Мокрушина, д. 16, Томск
пр-кт. Ленина, д. 15 б, Томск
пр-кт. Ленина, д. 15 в, Томск
пр-кт. Ленина, д. 15 а, Томск
ул. Усова, д. 52, Томск
ул. Дзержинского, д. 36, Томск
ул. Красноармейская, д. 134, Томск
пр-кт. Комсомольский, д. 69, Томск
ул. Мокрушина, д. 7, Томск
ул. Елизаровых, д. 2, Томск
ул. Богдана Хмельницкого, д. 41, Томск
ул. Карпова, д. 17, Томск
ул. Елизаровых, д. 25, Томск
ул. Елизаровых, д. 27, Томск
ул. Усова, д. 23 а, Томск
ул. Вершинина, д. 52, Томск
ул. Кузнецова, д. 31/1, Томск
ул. Елизаровых, д. 26, Томск
ул. Дзержинского, д. 57, Томск
ул. Артема, д. 5, Томск
ул. Белинского, д. 33/1, Томск
ул. Учебная, д. 12, Томск
пр-кт. Комсомольский, д. 71, Томск
ул. Федора Лыткина, д. 20, Томск
ул. Усова, д. 40, Томск
п. Светлый, д. 1, Томск
п. Светлый, д. 3, Томск
п. Светлый, д. 4, Томск
п. Светлый, д. 5, Томск
ул. Войкова, д. 84, Томск
ул. 5 Армии, д. 14, Томск
ул. Салтыкова-Щедрина, д. 37, Томск
ул. Кулагина, д. 11/1, Томск
ул. Мичурина, д. 69, Томск
ул. Студенческая, д. 5, Томск
ул. Мокрушина, д. 14, Томск
ул. Лазарева, д. 6 б, Томск
пер. Заозерный, д. 16/1, Томск
пер. Сосновый, д. 12 а, Томск
пер. Сосновый, д. 12 б, Томск
ул. Энергетиков, д. 6, Томск
ул. Дружбы, д. 60, Томск
пер. Баранчуковский, д. 35, Томск
ул. Ференца Мюнниха, д. 17, Томск
пр-кт. Мира, д. 39, Томск
пр-кт. Комсомольский, д. 53, Томск
ул. Елизаровых, д. 48/1, Томск
пр-кт. Кирова, д. 60, Томск
ул. Лебедева, д. 41, Томск
ул. Новосибирская, д. 45, Томск
тракт. Иркутский, д. 27/2, Томск
ул. Суворова, д. 1, Томск
ул. Грузинская, д. 26, Томск
ул. Сергея Лазо, д. 24, Томск
ул. Междугородная, д. 24, Томск
ул. Партизанская, д. 4/1, Томск
ул. Нахимова, д. 18, Томск
ул. Усова, д. 21/3, Томск
ул. Артема, д. 15, Томск
ул. Щорса, д. 7а, Томск
ул. Учительская, д. 61, Томск
ул. 79 Гвардейской Дивизии, д. 12, Томск
пр-кт. Мира, д. 5, Томск
пр-кт. Ленина, д. 108, Томск
ул. Смирнова, д. 38, к. 4, Томск
ул. Сибирская, д. 31, Томск
ул. Обручева, д. 8, к. 1, Томск
ул. Тверская, д. 66/1, Томск
ул. Говорова, д. 8, Томск
ул. Войкова, д. 61, Томск
ул. Учебная, д. 11, Томск
