Тип	Кадастровый номер	Регион	Кадастровый район	Почтовый индекс	Адрес полный	Адрес по документам	Площадь	Кадастровая стоимость
квартира	24:47:0000000:1488	Красноярский край	г. Енисейск кадастровый район	663180	ул Бабкина , д. 24 , кв.10 , Красноярский край , г Енисейск	Красноярский край, г. Енисейск, ул. Бабкина, д. 24, кв. 10	11 м2	108 468 руб.
земельный участок	66:06:2501026:80	Свердловская область	Белоярский кадастровый район	624046	тер Коллективный сад , Свердловская обл , Белоярский р-н , поселок Совхозный	"обл. Свердловская, р-н Белоярский, коллективный сад ""Электрон"""	12 000 м2	2 544 268 руб.
